Time,Vehicle speed,Time,Calculated load value,Time,Engine coolant temperature,Time,Engine RPM,Time,Intake air temperature,Time,Absolute throttle position,Time,Time since engine start,Time,Distance traveled while MIL is activated,Time,Distance traveled since DTCs cleared,Time,Barometric pressure,Time,Control module voltage,Time,Relative throttle position,Time,Accelerator pedal position D,Time,Commanded throttle actuator control,Time,Input voltage read by the scan tool,Time,Fuel rate,Time,Instant fuel economy,Time,Total fuel economy
91630.5642394,0,91630.799263,19.60784,91630.8351063,134.6,91630.870215,834,91630.9107024,95,91630.9465673,13.33333,91630.980383,84,91631.0142381,0,91631.0480527,14955.78,91631.0819155,14.64881,91631.1157505,14.462,91631.1506935,2.352941,91631.1845256,19.60784,91631.2601214,2.745098,91631.2650634,14.3,91630.4897501,0.2462735,91630.4897501,0,91630.4897501,32.13106
91630.6836191,0,91631.4155305,17.2549,91638.7507653,134.6,91631.4503921,825,91634.8421235,95,91631.4842356,13.33333,91634.9110601,88,91638.9267326,0,91638.9606386,14955.78,91631.5180236,14.64881,91634.9790116,14.385,91631.551867,2.352941,91631.5858228,19.60784,91631.6266165,2.745098,91631.9979046,14.3,91630.6050101,0.2194858,91630.6050101,0,91630.6050101,32.13086
91631.3000713,0,91631.7809115,19.21569,91646.866979,136.4,91631.8148418,835,91638.824686,93.2,91631.8496107,13.33333,91638.8926764,92,91647.0542265,0,91647.0882259,14955.78,91631.8834662,14.64881,91639.0305632,14.462,91631.9173326,2.352941,91631.9511731,19.60784,91631.9919868,2.745098,91632.7615626,14.3,91630.7244781,0.2454093,91630.7244781,0,91630.7244781,32.13062
91631.6634593,0,91632.1523007,17.64706,91655.1375599,138.2,91632.1961284,837,91643.0141203,93.2,91632.2299638,13.33333,91643.0820964,96,91655.3400462,0,91655.3771241,14955.78,91632.2637992,14.64881,91643.1511352,14.437,91632.30762,2.352941,91632.3414522,19.60784,91632.3822721,2.745098,91633.4943757,14.3,91631.3408588,0.2540505,91631.3408588,0,91631.3408588,32.12938
91632.0358003,0,91632.5356,16.86275,91663.0933951,140,91632.5694595,827,91646.9420855,93.2,91632.6033482,13.33333,91647.0201398,100,91663.2717683,0,91663.3058338,14955.78,91632.6371661,14.64881,91647.1563311,14.562,91632.6710037,2.352941,91632.7148106,19.60784,91632.7556382,2.745098,91634.2354237,14.3,91631.7052511,0.2587317,91631.7052511,0,91631.7052511,32.12863
91632.4191255,0,91632.912992,16.47059,91671.0716638,141.8,91632.9468366,831,91651.112467,93.2,91632.980618,13.33333,91651.1904978,104,91671.2511655,0,91671.2872548,14955.78,91633.0174597,14.64881,91651.2686116,14.36,91633.0513426,2.352941,91633.086086,19.60784,91633.1269924,2.745098,91635.098858,14.4,91632.0766327,0.2299214,91632.0766327,0,91632.0766327,32.12795
91632.7974602,0,91633.2783467,16.86275,91679.2058601,143.6,91633.3122109,831,91655.2237833,91.4,91633.3460766,13.33333,91655.3049528,108,91679.3833708,0,91679.4285108,14955.78,91633.3799113,14.64881,91655.4462844,14.36,91633.4137467,2.352941,91633.4475938,19.60784,91633.4884196,2.745098,91635.9154207,14.3,91632.4599272,0.217711,91632.4599272,0,91632.4599272,32.12729
91633.1628594,0,91633.6467562,17.2549,91687.205684,147.2,91633.6805814,819,91659.2668977,91.4,91633.7154467,13.33333,91659.3379599,112,91687.3862195,0,91687.4213134,14955.78,91633.749285,14.64881,91659.409258,14.487,91633.7841079,2.352941,91633.8180043,19.60784,91633.858772,2.745098,91636.658969,14.4,91632.8383363,0.2159788,91632.8383363,0,91632.8383363,32.12664
91633.5302489,0,91634.010138,17.2549,91695.1021085,149,91634.0439924,824,91663.1695306,91.4,91634.0778242,13.33333,91663.2376701,116,91695.2806449,0,91695.3147362,14955.78,91634.1116881,14.64881,91663.3739945,14.462,91634.1465474,2.352941,91634.1904894,19.60784,91634.2314683,2.745098,91637.4104617,14.3,91633.2036965,0.2212287,91633.2036965,0,91633.2036965,32.126
91633.8946409,0,91634.3883647,16.86275,91703.0542518,150.8,91634.4243609,820,91667.1368478,91.4,91634.4583178,13.33333,91667.2040058,120,91703.2357154,0,91703.2709187,14955.78,91634.4923267,14.64881,91667.2732022,14.437,91634.5263166,2.352941,91634.5702714,19.60784,91634.6112737,2.745098,91638.2030537,14.3,91633.5720768,0.2533547,91633.5720768,0,91633.5720768,32.12526
91634.2714822,0,91634.76715,20.39216,91711.0994382,152.6,91634.8012281,828,91671.1468783,91.4,91634.8761866,13.33333,91671.2160887,124,91711.3001009,0,91711.3352168,14955.78,91634.9450569,14.64881,91671.3554732,14.437,91635.0129832,2.352941,91635.0509491,19.60784,91635.0949138,2.745098,91639.1808864,14.3,91633.9354615,0.2576657,91633.9354615,0,91633.9354615,32.12452
91634.6482414,0,91635.3268376,16.86275,91719.3579946,154.4,91635.3607864,828,91675.2241873,89.6,91635.3947976,13.33333,91675.2933681,128,91719.558188,0,91719.593332,14955.78,91635.4287494,14.64881,91675.3615876,14.487,91635.4627371,2.352941,91635.4967409,19.60784,91635.5376692,2.745098,91639.9440598,14.3,91634.3134534,0.2525744,91634.3134534,0,91634.3134534,32.12376
91635.2078016,0,91635.6895679,17.2549,91727.4321293,154.4,91635.733589,823,91679.2810845,91.4,91635.7675401,13.33333,91679.3492911,132,91727.6077966,0,91727.6418731,14955.78,91635.8025179,14.64881,91679.4977129,14.437,91635.8365082,2.352941,91635.8704856,19.60784,91635.9134455,2.745098,91640.7045133,14.3,91634.6891837,0.2446798,91634.6891837,0,91634.6891837,32.12304
91635.5736811,0,91636.0713468,17.2549,91735.3434447,154.4,91636.1063642,830,91683.3731058,87.8,91636.1403101,13.33333,91683.4412837,136,91735.5251388,0,91735.5600368,14955.78,91636.1743091,14.64881,91683.5095061,14.41,91636.2083016,2.352941,91636.2422552,19.60784,91636.2832161,2.745098,91641.480013,14.3,91635.2488892,0.2206503,91635.2488892,0,91635.2488892,32.12206
91635.9524492,0,91636.4361263,18.03922,91743.3007012,154.4,91636.4701,822,91687.2818988,84.2,91636.5140849,13.33333,91687.3501336,140,91743.4773224,0,91743.5113629,14955.78,91636.5480484,14.64881,91687.4966612,14.235,91636.5820819,2.352941,91636.6160571,19.60784,91636.6569917,2.745098,91642.4154619,14.3,91635.6146706,0.2261536,91635.6146706,0,91635.6146706,32.1214
91636.3201952,0,91636.8129243,17.64706,91751.1828386,156.2,91636.8469186,819,91691.3063559,86,91636.8808502,13.72549,91691.3745561,144,91751.3714251,0,91751.4056071,14955.78,91636.9148753,14.64881,91691.4427618,14.285,91636.9588231,7.843137,91636.9928046,19.60784,91637.0337607,4.313725,91643.2629459,14.3,91635.9964161,0.2246141,91635.9964161,0,91635.9964161,32.12073
91636.6970042,0,91637.1877094,29.41176,91759.4890174,156.2,91637.2235397,896,91695.1763015,86,91637.2586794,14.5098,91695.2465381,148,91759.6664253,0,91759.700478,14955.78,91637.2926931,14.64881,91695.382963,14.462,91637.3335643,3.921569,91637.3676362,19.60784,91637.4085587,3.921569,91644.0164955,14.4,91636.3615118,0.2588753,91636.3615118,0,91636.3615118,32.11998
