Time,Calculated load value,Time,Engine RPM,Time,Vehicle speed,Time,Intake air temperature,Time,Time since engine start,Time,Barometric pressure,Time,Control module voltage,Time,Relative throttle position,Time,Accelerator pedal position D,Time,Engine coolant temperature,Time,Commanded throttle actuator control,Time,Fuel rate,Time,Instant fuel economy,Time,Total fuel economy
0.019985,21.56863,0.0259779,886,0,0,0.1171118,60.8,0.1233133,346,0.1294393,14.50377,0.1363516,12.682,0.1431143,2.745098,0.1491427,19.60784,0.1035769,123.8,0.1551236,2.745098,0.0071608,0.2843446,0.0071608,0,0.0071608,31.83545
0.0970231,21.56863,0.1099818,884,0.0785011,0,0.7555555,60.8,0.7630458,346,0.1949876,14.50377,0.7750497,12.707,0.201008,2.745098,0.2070196,19.60784,1.6180728,123.8,0.2236923,2.745098,0.085001,0.2843095,0.085001,0,0.085001,31.83513
0.1812514,21.56863,0.1879844,893,0.1609889,0,1.6300645,60.8,1.6360677,347,0.2609731,14.50377,1.6501304,12.682,0.2669558,2.745098,0.2729601,19.60784,3.2202429,123.8,0.2809698,2.745098,0.1670035,0.2808423,0.1670035,0,0.1670035,31.83478
0.2489814,21.17647,0.2550011,876,0.2300346,0,2.3251827,60.8,2.3311808,348,0.3209533,14.50377,2.3452652,12.682,0.3269833,2.745098,0.3329919,19.60784,5.0524037,123.8,0.3400255,2.745098,0.2360418,0.2834427,0.2360418,0,0.2360418,31.83449
0.3069484,21.17647,0.31286,888,0.2879726,0,3.2332383,60.8,3.2392386,349,0.3809844,14.50377,3.2532233,12.782,0.3869884,2.745098,0.3929784,19.60784,6.6765445,123.8,0.4009826,2.745098,0.2949534,0.2834164,0.2949534,0,0.2949534,31.83424
0.3682277,21.17647,0.3749688,883,0.3459708,0,4.1787855,60.8,4.1853363,350,0.4409811,14.50377,4.1972932,12.657,0.4480565,2.745098,0.4550784,19.60784,8.2375727,123.8,0.4610504,2.745098,0.3529663,0.2747492,0.3529663,0,0.3529663,31.83401
0.4269667,20.39216,0.4329673,900,0.4069744,0,5.087086,60.8,5.0943637,351,0.5010566,14.50377,5.1064071,12.882,0.5070763,2.745098,0.5292221,19.60784,9.9706381,123.8,0.5360461,2.745098,0.412971,0.2686822,0.412971,0,0.412971,31.83377
0.4890766,20.39216,0.495041,891,0.467062,0,5.7783315,60.8,5.7845055,351,0.5750395,14.50377,5.8133242,12.882,0.5810339,2.745098,0.5870473,19.60784,11.3546898,123.8,0.5930256,2.745098,0.4730689,0.2686573,0.4730689,0,0.4730689,31.83353
0.5630536,20.39216,0.5690641,894,0.5440378,0,6.689457,60.8,6.6954701,352,0.6356179,14.50377,6.7074956,12.757,0.643047,2.745098,0.6490403,19.60784,12.7528346,123.8,0.6550644,2.745098,0.5500491,0.266924,0.5500491,0,0.5500491,31.83322
0.621032,20,0.6270385,892,0.6010859,0,7.3822121,60.8,7.3917342,353,0.695027,14.50377,7.4293274,12.832,0.7010404,2.745098,0.7070366,19.60784,14.3459015,123.8,0.7154723,2.745098,0.6070345,0.2625909,0.6070345,0,0.6070345,31.833
0.6830312,20,0.6890355,889,0.6610302,0,8.2515364,60.8,8.2575693,354,0.7690391,14.50377,8.2705884,12.832,0.7810426,2.745098,0.7870498,19.60784,16.0719945,123.8,0.7954558,2.745098,0.6680473,0.2625015,0.6680473,0,0.6680473,31.83276
0.741036,20,0.7470406,893,0.7230378,0,9.1186126,60.8,9.1246263,355,0.8421459,14.50377,9.1405871,12.807,0.8480472,2.745098,0.8550423,19.60784,17.6699942,123.8,0.8610565,2.745098,0.7290604,0.2581698,0.7290604,0,0.7290604,31.83253
0.8270392,19.60784,0.8330566,897,0.80404,0,9.9836209,60.8,9.9896508,355,0.9030484,14.50377,10.0016604,12.857,0.9090486,2.745098,0.9176053,19.60784,19.3751771,125.6,0.9240502,2.745098,0.8100413,0.2590362,0.8100413,0,0.8100413,31.83221
0.8880486,19.60784,0.8950624,898,0.8670692,0,10.6806003,60.8,10.6865943,356,0.9630949,14.50377,10.698598,12.857,0.9720606,2.745098,0.9780594,19.60784,20.9081227,125.6,0.9840556,2.745098,0.8730588,0.2589079,0.8730588,0,0.8730588,31.83197
0.9490464,19.60784,0.955084,894,0.9300501,0,11.3666844,60.8,11.3726959,357,1.0370854,14.50377,11.3846927,12.807,1.0430641,2.745098,1.0490896,19.60784,22.395248,125.6,1.0550851,2.745098,0.9360485,0.2519807,0.9360485,0,0.9360485,31.83174
1.024063,19.21569,1.030087,891,0.9900515,0,12.0956989,60.8,12.1017486,358,1.3030361,14.50377,12.1136966,12.632,1.3090309,2.745098,1.3170362,19.60784,23.8684492,125.6,1.323028,2.745098,1.0090614,0.2519807,1.0090614,0,1.0090614,31.83146
1.28904,18.82353,1.2950561,900,1.2630567,0,12.7667819,60.8,12.7728378,358,1.3631178,14.50377,12.7867997,12.882,1.3691493,2.745098,1.3751271,19.60784,25.2033853,125.6,1.3832304,2.745098,1.2762291,0.2484093,1.2762291,0,1.2762291,31.83047
